種類,年月,業者名稱,通話分鐘數(分),用戶數,平均用戶通話分鐘數(分)
2G,104/8,中華電信股份有限公司,74857288,972642,76.96
2G,104/8,台灣大哥大股份有限公司,5185275,294998,17.58
2G,104/8,遠傳電信股份有限公司,2229981,106283,20.98
4G,104/7,所有業者,786612930,7930423,99.19
3G,104/7,中華電信股份有限公司,599495600,7185287,83.43
3G,104/7,台灣大哥大股份有限公司,267421728,5031078,53.15
3G,104/7,台灣之星電信股份有限公司,52683478,1377111,38.26
3G,104/7,亞太電信股份有限公司,83646017,1280247,65.34
3G,104/7,遠傳電信股份有限公司,361075985,5089501,70.95
2G,104/7,中華電信股份有限公司,76108805,1024375,74.3
2G,104/7,台灣大哥大股份有限公司,5849247,304947,19.18
2G,104/7,遠傳電信股份有限公司,2223532,112027,19.85
4G,104/6,所有業者,737294239,7208050,102.29
3G,104/6,中華電信股份有限公司,637151012,7388495,86.24
3G,104/6,台灣大哥大股份有限公司,274483004,5144603,53.35
3G,104/6,台灣之星電信股份有限公司,58885370,1371451,42.94
3G,104/6,亞太電信股份有限公司,91678349,1349249,67.95
3G,104/6,遠傳電信股份有限公司,378135695,5222890,72.4
2G,104/6,中華電信股份有限公司,80699536,1084920,74.38
2G,104/6,台灣大哥大股份有限公司,6377375,326026,19.56
2G,104/6,遠傳電信股份有限公司,2874025,143405,20.04
4G,104/5,所有業者,690109351,6485911,106.4
3G,104/5,中華電信股份有限公司,640249934,7603980,84.2
3G,104/5,台灣大哥大股份有限公司,294785417,5275698,55.88
3G,104/5,台灣之星電信股份有限公司,62589925,1373549,45.57
3G,104/5,亞太電信股份有限公司,115001633,1419818,81
3G,104/5,遠傳電信股份有限公司,411347360,5363552,76.69
2G,104/5,中華電信股份有限公司,82690317,1134259,72.9
2G,104/5,台灣大哥大股份有限公司,7318294,356654,20.52
2G,104/5,遠傳電信股份有限公司,3672179,149792,24.52
4G,104/4,所有業者,633601177,5852935,108.25
3G,104/4,中華電信股份有限公司,689734943,7782528,88.63
3G,104/4,台灣大哥大股份有限公司,299170433,5366219,55.75
3G,104/4,台灣之星電信股份有限公司,62441634,1376881,45.35
3G,104/4,亞太電信股份有限公司,124157839,1489598,83.35
3G,104/4,遠傳電信股份有限公司,420678131,5510448,76.34
2G,104/4,中華電信股份有限公司,90242630,1191400,75.75
2G,104/4,台灣大哥大股份有限公司,7773415,381636,20.37
2G,104/4,遠傳電信股份有限公司,5305360,186721,28.41
4G,104/3,所有業者,549996097,5261698,104.53
3G,104/3,中華電信股份有限公司,613433789,8001832,76.66
3G,104/3,台灣大哥大股份有限公司,329376090,5465235,60.27
3G,104/3,台灣之星電信股份有限公司,59614833,1393723,42.77
3G,104/3,亞太電信股份有限公司,132739999,1565453,84.79
3G,104/3,遠傳電信股份有限公司,465821348,5582748,83.44
2G,104/3,中華電信股份有限公司,74884685,1265741,59.16
2G,104/3,台灣大哥大股份有限公司,8858286,392048,22.59
2G,104/3,遠傳電信股份有限公司,7722588,291599,26.48
4G,104/2,所有業者,471446670,4598777,102.52
3G,104/2,中華電信股份有限公司,723192176,8121671,89.04
3G,104/2,台灣大哥大股份有限公司,305782452,5604619,54.56
3G,104/2,台灣之星電信股份有限公司,61553708,1421527,43.3
3G,104/2,亞太電信股份有限公司,114264820,1650078,69.25
3G,104/2,遠傳電信股份有限公司,432418273,5683309,76.09
2G,104/2,中華電信股份有限公司,92205540,1338989,68.86
2G,104/2,台灣大哥大股份有限公司,8889101,418922,21.22
2G,104/2,遠傳電信股份有限公司,13072964,401261,32.58
4G,104/1,所有業者,443540018,4023940,110.23
3G,104/1,中華電信股份有限公司,766598055,8212127,93.35
3G,104/1,台灣大哥大股份有限公司,352813292,5767660,61.17
3G,104/1,台灣之星電信股份有限公司,71730615,1431810,50.1
3G,104/1,亞太電信股份有限公司,148814786,1709924,87.03
3G,104/1,遠傳電信股份有限公司,505057032,5806224,86.99
2G,104/1,中華電信股份有限公司,99689887,1395838,71.42
2G,104/1,台灣大哥大股份有限公司,9849599,431278,22.84
2G,104/1,遠傳電信股份有限公司,15525277,461617,33.63
4G,103/12,所有業者,305317610.4,3449307,88.52
3G,103/12,中華電信股份有限公司,804807426,8330491,96.61
3G,103/12,台灣大哥大股份有限公司,385078657,5928117,64.96
3G,103/12,亞太電信股份有限公司,175948174,1784111,98.62
3G,103/12,威寶電信股份有限公司(至103年12止),76450830,1447292,52.82
3G,103/12,遠傳電信股份有限公司,539256859,5964744,90.41
2G,103/12,中華電信股份有限公司,95044530,1464893,64.88
2G,103/12,台灣大哥大股份有限公司,10743339,444368,24.18
2G,103/12,遠傳電信股份有限公司,17856328,488066,36.59
4G,103/11,所有業者,225787446.4,2785716,81.05
3G,103/11,中華電信股份有限公司,859169388,8482138,101.29
3G,103/11,台灣大哥大股份有限公司,390577396,6175054,63.25
3G,103/11,亞太電信股份有限公司,176917557,1840255,96.14
3G,103/11,威寶電信股份有限公司(至103年12止),75053954,1468044,51.13
3G,103/11,遠傳電信股份有限公司,539748281,6090128,88.63
2G,103/11,中華電信股份有限公司,106710939,1544831,69.08
2G,103/11,台灣大哥大股份有限公司,11176500,458710,24.37
2G,103/11,遠傳電信股份有限公司,18794912,513042,36.63
4G,103/10,所有業者,151062750.8,2103521,71.81
3G,103/10,中華電信股份有限公司,872975682,8640826,101.03
3G,103/10,台灣大哥大股份有限公司,447049876,6421807,69.61
3G,103/10,亞太電信股份有限公司,197101267,1874039,105.17
3G,103/10,威寶電信股份有限公司(至103年12止),82645697,1500367,55.08
3G,103/10,遠傳電信股份有限公司,602519835,6235091,96.63
2G,103/10,中華電信股份有限公司,109700058,1619208,67.75
2G,103/10,台灣大哥大股份有限公司,12553248,473200,26.53
2G,103/10,遠傳電信股份有限公司,21457025,533187,40.24
4G,103/9,所有業者,84156082.83,1168738,72.01
3G,103/9,中華電信股份有限公司,909107970,8959794,101.47
3G,103/9,台灣大哥大股份有限公司,474684505,6698383,70.87
3G,103/9,亞太電信股份有限公司,206405398,1920622,107.47
3G,103/9,威寶電信股份有限公司(至103年12止),89120735,1558699,57.18
3G,103/9,遠傳電信股份有限公司,634326511,6401283,99.09
2G,103/9,中華電信股份有限公司,113491092,1697813,66.85
2G,103/9,台灣大哥大股份有限公司,13471647,492430,27.36
2G,103/9,遠傳電信股份有限公司,23401803,554414,42.21
4G,103/8,所有業者,51333626.95,643094,79.82
3G,103/8,中華電信股份有限公司,930568067,9031424,103.04
3G,103/8,台灣大哥大股份有限公司,496991153,6790323,73.19
3G,103/8,亞太電信股份有限公司,221113397,1955055,113.1
3G,103/8,威寶電信股份有限公司(至103年12止),97334312,1625860,59.87
3G,103/8,遠傳電信股份有限公司,669316498,6505026,102.89
2G,103/8,中華電信股份有限公司,123129565,1786878,68.91
2G,103/8,台灣大哥大股份有限公司,15009040,510196,29.42
